error list,fixes
Not permitted to be < 1 unless VOI LUT Function is LINEAR_EXACT or SIGMOID - attribute <WindowWidth> = ,"Not permitted to be < 1 unless VOI LUT Function is LINEAR_EXACT or SIGMOID - attribute <WindowWidth> = 
 %%% FIX IS - 
A.  For 8 bit US, set_tag <(0028,1051)> <256> <> and set _tag <(0028,1050)> <128> <> 
B.  If Window Width and Window Center are both <1, ignore the error %%%"
Not permitted to be < 1 unless VOILUTFunction is LINEAR_EXACT or SIGMOID - attribute <WindowWidth>,"Not permitted to be < 1 unless VOILUTFunction is LINEAR_EXACT or SIGMOID - attribute <WindowWidth> 
%%% FIX IS - 
A.  For 8 bit US, set_tag <(0028,1051)> <256> <> and set _tag <(0028,1050)> <128> <> 
B.  If Window Width and Window Center are both <1, ignore the error %%%"
"Number of values in vector does not match Number of Frames for Attribute (0x0054,0x0080) Slice Vector","Number of values in vector does not match Number of Frames for Attribute (0x0054,0x0080) Slice Vector %%% FIX IS -  see DCIODVFY Errors and Fixes Document %%%"
Orientation vector is not unit vector for column vector of ImageOrientationPatient - values are,"Orientation vector is not unit vector for column vector of ImageOrientationPatient - values are %%% FIX IS - You can ignore, disregard the extra text (the 3 numbers that follow ""values are"" %%%"
Orientation vector is not unit vector for  vector of VelocityEncodingDirection - values are 0\0\0,
Orientation vectors are not orthogonal for row vector of ImageOrientationPatient (-3.42285e-08\0.000261643\1) and column vector of ImageOrientationPatient (-0.000261643\1\0.000261643) ,"Orientation vectors are not orthogonal for row vector of ImageOrientationPatient %%% FIX IS - You can ignore this error and disregard the extra ""leftover"" text from the error %%%"
Referenced File ID is empty or has empty components,"Referenced File ID is empty or has empty components %%% FIX IS - delete_tag	<(0004,1500)>	Or other group 4 tags; there should be no group 4 tags %%%"
Scaled numeric values for same concept are inconsistent,"Scaled numeric values for same concept are inconsistent %%% FIX IS - set_tag (0018,1153) to value in Exposure * 1000. For example, if Exposure=70, then set_tag (0018,1153) <7000> %%%"
"Specified number of vector values does not match actual values in vector for Attribute (0x0054,0x0021) Number of Detectors, which has value ","Specified number of vector values does not match actual values in vector for Attribute (0x0054,0x0021) Number of Detectors, which has value %%% FIX IS - we cannot fix, ignore. There will be ""leftover"" text from the DCIODVFY error. All text following the word ""value"" is exta and can be ignored. %%%"
"Tag:  (0018,9311) FD 1 Spiral Pitch Factor : Non-numeric attribute while verifying not zero value","Tag:  (0018,9311) FD 1 Spiral Pitch Factor : Non-numeric attribute while verifying not zero value %%% FIX IS - see DCIODVFY Errors and Fixes Document %%%"
"Tag: (0005,0006) : Invalid Value for VR : _x005F_x0001_ : Character invalid for this VR : '' (0x1) ","Tag: (0005,0006) : Invalid Value for VR : _x005F_x0001_ : Character invalid for this VR : '' (0x1) %%% FIX IS - delete tag %%%"
"Tag: (0005,0006) : Invalid Value for VR : <unspec> : Trailing character invalid for this VR : '' (0) ","Tag: (0005,0006) : Invalid Value for VR : <unspec> : Trailing character invalid for this VR : '' (0) %%% FIX IS - delete tag %%%"
"Tag: (0008,0005) CS 1-n Specific Character Set : Empty attribute (no value) Type 1C Conditional Element per module SOPCommon","Tag: (0008,0005) CS 1-n Specific Character Set : Empty attribute (no value) Type 1C Conditional Element per module SOPCommon %%% FIX IS - delete_tag <(0008,0005)> <> %%%"
"Tag: (0008,0008) CS 2-n Image Type : has an unrecognized enumerated value (SECONDARY) in index 2","Tag: (0008,0008) CS 2-n Image Type : has an unrecognized enumerated value (SECONDARY) in index 2 %%% FIX IS - This is a multivalued tag, the value in the 2nd position (value 2) is not correct. For PET images, set_tag <(0008,0008)[1]> <PRIMARY> <>. For other modalities review the image and determine the correct value, it should be either PRIMARY or SECONDARY. See innolitics.com for more information. %%%"
"Tag: (0008,0008) CS 2-n Image Type: A value is required for value 3 in MR Images","Tag: (0008,0008) CS 2-n Image Type: A value is required for value 3 in MR Images %%% FIX IS - This is a multivalued tag, the value in the 3rd position (value 3) is missing. Review the image and determine the correct value for value 3. Value 3 identifies any IOD specfic specialization; this is often set to OTHER; for example, set_tag <(0008,0008)[3]> <OTHER> <>.  See innolitics.com for more information. %%%"
"Tag: (0008,0008) CS 2-n Image Type: Empty attribute (no value) Type 1 Required Element per module MRImage","Tag: (0008,0008) CS 2-n Image Type: Empty attribute (no value) Type 1 Required Element per module MRImage %%% FIX IS - This is a multivalued tag, there are 3 values required for MR images. Review the image and determine the correct value for all 3 values. for example, these 3 edits will set the image type to ORIGINAL/PRIMARY/OTHER: set_tag <(0008,0008)[0]> <ORIGINAL> <>, set_tag <(0008,0008)[1]> <PRIMARY> <>,set_tag <(0008,0008)[2]> <OTHER> <>. See innolitics.com for more information. %%%"
"Tag: (0008,0008) CS 2-n Image Type : A value is required for value 3 in CT Images","Tag: (0008,0008) CS 2-n Image Type : A value is required for value 3 in CT Images %%% FIX IS - This is a multivalued tag, the value in the 3rd position (value 3) is missing. Review the image and determine the correct value for value 3. Value 3 identifies any IOD specfic specialization; this is often set to OTHER; for example, set_tag <(0008,0008)[3]> <OTHER> <>.  See innolitics.com for more information. %%%"
"Tag: (0008,0008) CS 2-n Image Type : has bad value multiplicity : 1 vs 2-n : per GeneralImage","Tag: (0008,0008) CS 2-n Image Type : has bad value multiplicity : 1 vs 2-n : per GeneralImage %%% FIX IS - This is a multivalued tag, there is a missing value, for example, the image type might be ORIGINAL/PRIMARY. If that is the case , set_tag <(0008,0008)[0]> <ORIGINAL> <>, set_tag <(0008,0008)[1]> <PRIMARY> <>. Review the image to determine the correct values.  See innolitics.com for more information. %%%"
"Tag: (0008,0008) CS 2-n Image Type : Invalid Value for VR : Derived : Character invalid for this VR : 'd'","Tag: (0008,0008) CS 2-n Image Type : Invalid Value for VR : Derived : Character invalid for this VR : 'd' (0x64) %%% FIX IS - This error is because the value is in lowercase and it should be all in capitals for the VR CS. There are likely other DCIODVFY errors associated with the other lowercase characters but similar to to this error. Review the error and/or the image and determine correct value. For example, the ""d"" is probably a part of the word derived. If that is the case, <(0008,0008)[0]> <DERIVED> <> .  See innolitics.com for more information. %%%"
"Tag: (0008,0008) CS 2-n Image Type : has an unrecognized enumerated value (Derived) in index 1 ","Tag: (0008,0008) CS 2-n Image Type : has an unrecognized enumerated value (Derived) in index 1 %%% FIX IS - set_tag <(0008,0008)[0]> <DERIVED> <>. See innolitics.com for more information. %%%"
"Tag: (0008,0008) CS 2-n Image Type : has bad value multiplicity : 1 vs 2-n : per CTImage ","Tag: (0008,0008) CS 2-n Image Type : has bad value multiplicity : 1 vs 2-n : per per CTImage  %%% FIX IS - This is a CT image and requires 3 values, there is a missing value, for example, the image type might be ORIGINAL/PRIMARY/OTHER. If that is the case , set_tag <(0008,0008)[0]> <ORIGINAL> <>, set_tag <(0008,0008)[1]> <PRIMARY> <>, set_tag <(0008,0008)[2]> <OTHER> <>. Review the image to determine the correct values.  See innolitics.com for more information. %%%"
"Tag: (0008,0008) CS 2-n Image Type : Empty attribute (no value) Type 1 Required Element per module PETImage ","Tag: (0008,0008) CS 2-n Image Type : Empty attribute (no value) Type 1 Required Element per module PETImage %%% FIX IS - This is a PET image. This is a multivalued tag (for example, ORIGINAL/PRIMARY), review the image.  For value 1, it should be ORIGINAL or DERIVED.Set the tag appropriately, for example, to fix value 1 set_tag <(0008,0008)[0]> <ORIGINAL> <>. For value 2, set_tag <(0008,0008)[1]> <PRIMARY> <>.  See innolitics.com for more information. %%%"
"Tag: (0008,0008) CS 2-n Image Type : A value is required for value 3 in CT Images ","Tag: (0008,0008) CS 2-n Image Type : A value is required for value 3 in CT Images %%% FIX IS - This is a CT image and requires 3 values, there is a missing value, for example, the image type might be ORIGINAL/PRIMARY/OTHER. If that is the case , set_tag <(0008,0008)[0]> <ORIGINAL> <>, set_tag <(0008,0008)[1]> <PRIMARY> <>, set_tag <(0008,0008)[2]> <OTHER> <>. Review the image to determine the correct values.  See innolitics.com for more information. %%%"
"Tag: (0008,0008) CS 2-n Image Type : Invalid Value for VR : COMPRESSED ","Tag: (0008,0008) CS 2-n Image Type : Invalid Value for VR : COMPRESSED %%% FIX IS - The VR for this tag is CS. Special characters, such as colons, are not allowed. For example, if the value is COMPRESSED 6:1 (or similar) the colon is invalid. Review the image dump. Determine which value (value 1, value 2 etc)  in this multivalued tag should be corrected. For example, set_tag <(0008,0008)[#]> <COMPRESSED> <>; the ""#"" should be replaced with correct value number, this could be the numbers 3, 4, or 5 etc. see innolitics or DCIODVFY errors and fixes document%%%"
"Tag: (0008,0008) CS 2-n Image Type : Invalid Value for VR : JP2K LOSSY ","Tag: (0008,0008) CS 2-n Image Type : Invalid Value for VR : JP2K LOSSY %%% FIX IS - The VR for this tag is CS. Special characters, such as colons, are not allowed. For example, if the value is JP2K LOSSY 8:1 (or similar) the colon is invalid. Review the image dump. Determine which value (value 1, value 2 etc)  in this multivalued tag should be corrected. For example, set_tag <(0008,0008)[#]> <JP2K LOSSY> <>; the ""#"" should be replaced with correct value number, this could be the numbers 3, 4, or 5 etc. see innolitics.com or DCIODVFY errors and fixes document%%%"
"Tag: (0008,0008) CS 2-n Image Type : Invalid Value for VR : Decompressed ","Tag: (0008,0008) CS 2-n Image Type : Invalid Value for VR : Decompressed %%% FIX IS - The VR for this tag is CS. Special characters, such as colons and lowercase are not allowed. For example, if the value is Decompressed 10:1 (or similar) the colon and lowercase is invalid.. Review the image dump. Determine which value (value 1, value 2 etc)  in this multivalued tag should be corrected. For example, set_tag <(0008,0008)[#]> <JDECOMPRESSED> <>; the ""#"" should be replaced with correct value number, this could be the numbers 3, 4, or 5 etc. see innolitics.com or DCIODVFY errors and fixes document%%%"
"Tag: (0008,0016) UI 1 SOP Class UID : Invalid Value for VR : <unspec> : Trailing character invalid for this VR : ' ' (0x20) ",
"Tag: (0008,0020) DA 1 Study Date: Invalid Value for VR: ","Tag: (0008,0020) DA 1 Study Date: Invalid Value for VR: %%% FIX IS - to correct date format, it should be YYYYMMDD %%%"
"Tag: (0008,002a) DT 1 Acquisition DateTime : Empty attribute (no value) Type 1C Conditional Element per module EnhancedCTImage",
"Tag: (0008,002a) DT 1 Acquisition DateTime : Invalid Value for VR","Tag: (0008,002a) DT 1 Acquisition DateTime : Invalid Value for VR %%% FIX IS - to correct date format YYYYMMDDHHMMSS.FFFFFF&ZZXX (see http://dicom.nema.org/dicom/2013/output/chtml/part05/sect_6.2.html for explanation) %%%"
"Tag: (0008,0030) TM 1 Study Time : Invalid Value for VR","Tag: (0008,0030) TM 1 Study Time : Invalid Value for VR %%% FIX IS - to correct time format. If there are MANY of these messages, empty_tag (0008,0030) otherwise then correct format using set_tag command %%%"
"Tag: (0008,0050) SH 1 Accession Number: MissingTag: Type 2 Required Element: GeneralStudy ","Tag: (0008,0050) SH 1 Accession Number: MissingTag: Type 2 Required Element: GeneralStudy %%% FIX IS - to set_tag (0008,0050) <> %%%"
"Tag: (0008,0064) CS 1 Conversion Type : Missing Tag : Type 1 Required Element : SCEquipment ","Tag: (0008,0064) CS 1 Conversion Type : Missing Tag : Type 1 Required Element : SCEquipment %%% FIX IS - if this is a report, the series should be deleted. If it is Secondary Capture, check to see if it's a workstation, if so - set to WSD. If unsure, ask DICOM expert %%%"
"Tag: (0008,0068) CS 1 Presentation Intent Type : Missing Tag : Type 1 Required Element : DXSeries",
"Tag: (0008,0070) LO 1 Manufacturer : Missing Tag : Type 1 Required Element : SOPCommon ","Tag: (0008,0070) LO 1 Manufacturer : Missing Tag : Type 1 Required Element : SOPCommon %%% FIX IS - set_tag <(0020,0012)> <> <> %%%"
"Tag: (0008,0100) SH 1 Code Value : Empty attribute (no value) Type 1C Conditional Element per module BasicCodeSequenceMacro","Tag: (0008,0100) SH 1 Code Value : Empty attribute (no value) Type 1C Conditional Element per module BasicCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If sequence is empty and type 3 or empty and sequence is optional, delete sequence. Otherwise, ignore error %%%"
"Tag: (0008,0100) SH 1 Code Value : Missing Tag : Type 1 Required Element : CodeSequence99SDMMacro ","Tag: (0008,0100) SH 1 Code Value : Missing Tag : Type 1 Required Element : CodeSequence99SDMMacro %%% FIX IS -  to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. Attention: If this is in a group tag with (0008,0104), (0008,0100), (0008,0119) & (0008,0120) together, then check for empty sequence. If type 3 delete. If not type 3 ask Bill or Quasar%%%"
"Tag: (0008,0100) SH 1 Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro","Tag: (0008,0100) SH 1 Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. Attention: If this is in a group tag with (0008,0104), (0008,0100), (0008,0119) & (0008,0120) together, then check for empty sequence. If the sequence tag causing the problem is (0054,0410) or (0054,0414) and modality is NM or PET, ignore error. If type 3 delete. If not type 3 ask Bill or Quasar%%%"
"Tag: (0008,0100) SH 1 Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMeaningOptionalMacro","Tag: (0008,0100) SH 1 Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMeaningOptionalMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. Attention: If this is in a group tag with (0008,0104), (0008,0100), (0008,0119) & (0008,0120) together, then check for empty sequence. If type 3 delete. If not type 3 ask Bill or Quasar%%%"
"Tag: (0008,0102) SH 1 Coding Scheme Designator : Empty attribute (no value) Type 1C Conditional Element per module BasicCodeSequenceMacro","Tag: (0008,0102) SH 1 Coding Scheme Designator : Empty attribute (no value) Type 1C Conditional Element per module BasicCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error %%%"
"Tag: (0008,0102) SH 1 Coding Scheme Designator : has an unrecognized enumerated value (SNM3) in index 1",
"Tag: (0008,0102) SH 1 Coding Scheme Designator : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro","Tag: (0008,0102) SH 1 Coding Scheme Designator : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error %%%"
"Tag: (0008,0103) SH 1 Coding Scheme Version : is conditional and is present when condition not satisfied : per BasicCodeSequenceMacro module","Tag: (0008,0103) SH 1 Coding Scheme Version : is conditional and is present when condition no satisfied : per BasicCodeSequenceMacro module %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error %%%"
"Tag: (0008,0104) LO 1 Code Meaning : Empty attribute (no value) Type 1 Required Element per module","Tag: (0008,0104) LO 1 Code Meaning : Empty attribute (no value) Type 1 Required Element per module %%%  FIX IS - If you can determine which sequence this tag is missing from by looking at an image header dump of one of the series in Quince and the sequence is empty (search for the word sequence in the header dump, if there are no tags nested under a sequence, that is likely what is causing the issue).
A. Delete the sequence, if it is Type 3 
B. If the sequence is an optional sequence; delete the sequence
C. If you cannot determine which sequence this tag is missing from - ignore error  %%%"
"Tag: (0008,0104) LO 1 Code Meaning : Missing Tag : Type 1 Required Element : BasicCodeSequenceMacro","Tag: (0008,0104) LO 1 Code Meaning : Missing Tag : Type 1 Required Element : BasicCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. Attention: If this is in a group tag with (0008,0104), (0008,0100), (0008,0119) & (0008,0120) together, then check for empty sequence. If the sequence tag causing the problem is (0054,0410) or (0054,0414) and modality is NM or PET, ignore error. If type 3 delete. If not type 3 ask Bill or Quasar%%%"
"Tag: (0008,0105) CS 1 Mapping Resource : Missing Tag : Type 1C Conditional Element : EnhancedCodeSequenceMacro","Tag: (0008,0105) CS 1 Mapping Resource : Missing Tag : Type 1C Conditional Element : EnhancedCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error %%%"
"Tag: (0008,0106) DT 1 Context Group Version : Empty attribute (no value) Type 1C Conditional Element per module EnhancedCodeSequenceMacro","Tag: (0008,0106) DT 1 Context Group Version : Empty attribute (no value) Type 1C Conditional Element per module EnhancedCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. If the sequence is not empty, look to see if there are other sequences that have this tag (0008,0106) with a value other than NULL or Empty, then set the empty tags to this value. If this is in group with (0008,0106), (0008,0105), (0008,010d), (0008,0107) delete_tag <(0040,0260)> if the sequence contains no useful scientific data %%%"
"Tag: (0008,0106) DT 1 Context Group Version : Missing Tag : Type 1C Conditional Element : EnhancedCodeSequenceMacro","Tag: (0008,0106) DT 1 Context Group Version : Missing Tag : Type 1C Conditional Element : EnhancedCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If there are other entries in the sequence that have this tag (0008,0106) with a value other than NULL or Empty, then set the empty tags to that vlaue. Otherwise, ignore. %%%"
"Tag: (0008,0119) UC 1 Long Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro","Tag: (0008,0119) UC 1 Long Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. Attention: If this is in a group tag with (0008,0104), (0008,0100), (0008,0119) & (0008,0120) together, then check for empty sequence. If type 3 delete. If not type 3 ask Bill or Quasar%%%"
"Tag: (0008,0119) UC 1 Long Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro ","Tag: (0008,0119) UC 1 Long Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. Attention: If this is in a group tag with (0008,0104), (0008,0100), (0008,0119) & (0008,0120) together, then check for empty sequence. If the sequence tag causing the problem is (0054,0410) or (0054,0414) and modality is NM or PET, ignore error. If type 3 delete. If not type 3 ask Bill or Quasar%%%"
"Tag: (0008,0119) UC 1 Long Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMeaningOptionalMacro","Tag: (0008,0119) UC 1 Long Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMeaningOptionalMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. Attention: If this is in a group tag with (0008,0104), (0008,0100), (0008,0119) & (0008,0120) together, then check for empty sequence. If type 3 delete. If not type 3 ask Bill or Quasar%%%"
"Tag: (0008,0120) UR 1 URN Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro","Tag: (0008,0120) UR 1 URN Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. Attention: If this is in a group tag with (0008,0104), (0008,0100), (0008,0119) & (0008,0120) together, then check for empty sequence. If the sequence tag causing the problem is (0054,0410) or (0054,0414) and modality is NM or PET, ignore error. If type 3 delete. If not type 3 ask Bill or Quasar%%%"
"Tag: (0008,0120) UR 1 URN Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro ","Tag: (0008,0120) UR 1 URN Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. Attention: If this is in a group tag with (0008,0104), (0008,0100), (0008,0119) & (0008,0120) together, then check for empty sequence. If type 3 delete. If not type 3 ask Bill or Quasar %%%"
"Tag: (0008,0120) UR 1 URN Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMeaningOptionalMacro","Tag: (0008,0120) UR 1 URN Code Value : Missing Tag : Type 1C Conditional Element : BasicCodeSequenceMeaningOptionalMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If there are no tags in the sequence, delete if type 3. If cannot determine sequence, ignore error. Attention: If this is in a group tag with (0008,0104), (0008,0100), (0008,0119) & (0008,0120) together, then check for empty sequence. If type 3 delete. If not type 3 ask Bill or Quasar %%%"
"Tag: (0008,1030) LO 1 Study Description : has bad value multiplicity : 3 vs 1 : per GeneralStudy ","Tag: (0008,1030) LO 1 Study Description : has bad value multiplicity : 3 vs 1 : per GeneralStudy %%% FIX IS - there is a ""/"" character in the study description. Remove ""/"" %%%"
"Tag: (0008,1030) LO 1 Study Description : Invalid Value for VR","Tag: (0008,1030) LO 1 Study Description : Invalid Value for VR %%% FIX IS - if the length is invalid, shorten the Study Description using set_tag or if there is an invalid character, remove character. %%%"
